match_id,kickoff_utc,home,away,outcome,p_home,p_draw,p_away,brier,logloss,favorite_correct,exact_correct,pred_score_home,pred_score_away,actual_home,actual_away,scored_at_utc
537334,2026-06-13T19:00:00Z,Qatar,Switzerland,draw,0.1444,0.337,0.5185,0.7293,1.0877,0,1,1,1,1,1,2026-06-13T21:40:32.322710+00:00
537339,2026-06-13T22:00:00Z,Brazil,Morocco,draw,0.4784,0.252,0.2696,0.8611,1.3783,0,1,1,1,1,1,2026-06-14T09:10:04.008235+00:00
537340,2026-06-14T01:00:00Z,Haiti,Scotland,away_win,0.2251,0.267,0.5079,0.3641,0.6775,1,1,0,1,0,1,2026-06-14T09:10:04.008235+00:00
537346,2026-06-14T04:00:00Z,Australia,Turkey,home_win,0.2186,0.2973,0.4841,0.9333,1.5205,0,0,1,1,2,0,2026-06-14T09:10:04.008235+00:00
537351,2026-06-14T17:00:00Z,Germany,Curaçao,home_win,0.8594,0.0915,0.0491,0.0306,0.1515,1,0,3,0,7,1,2026-06-15T07:41:35.918365+00:00
537357,2026-06-14T20:00:00Z,Netherlands,Japan,draw,0.3588,0.3858,0.2553,0.5712,0.9524,1,0,1,1,2,2,2026-06-15T07:41:35.918365+00:00
537352,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,home_win,0.177,0.3069,0.5162,1.038,1.7316,0,0,1,1,1,0,2026-06-15T07:41:35.918365+00:00
537358,2026-06-15T02:00:00Z,Sweden,Tunisia,home_win,0.4405,0.2723,0.2872,0.4697,0.8198,1,0,1,1,5,1,2026-06-15T07:41:35.918365+00:00
537369,2026-06-15T16:00:00Z,Spain,Cape Verde,draw,0.8623,0.0886,0.0491,1.5766,2.4236,0,0,3,0,0,0,2026-06-15T19:38:31.335032+00:00
537363,2026-06-15T19:00:00Z,Belgium,Egypt,draw,0.4532,0.2991,0.2478,0.7581,1.207,0,0,1,0,1,1,2026-06-16T12:20:51.255195+00:00
537370,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,draw,0.1643,0.2628,0.5728,0.8986,1.3364,0,0,0,1,1,1,2026-06-16T12:20:51.255195+00:00
537364,2026-06-16T01:00:00Z,Iran,New Zealand,draw,0.6049,0.2776,0.1176,0.9016,1.2816,0,0,1,0,2,2,2026-06-16T12:20:51.255195+00:00
537391,2026-06-16T19:00:00Z,France,Senegal,home_win,0.5603,0.2615,0.1781,0.2934,0.5793,1,0,1,1,3,1,2026-06-17T07:24:40.184941+00:00
537392,2026-06-16T22:00:00Z,Iraq,Norway,away_win,0.1663,0.2738,0.5599,0.2963,0.58,1,0,0,1,1,4,2026-06-17T07:24:40.184941+00:00
537397,2026-06-17T01:00:00Z,Argentina,Algeria,home_win,0.6403,0.2629,0.0968,0.2079,0.4458,1,0,1,0,3,0,2026-06-17T07:24:40.184941+00:00
537398,2026-06-17T04:00:00Z,Austria,Jordan,home_win,0.4901,0.2606,0.2493,0.3901,0.7131,1,0,1,1,3,1,2026-06-17T07:24:40.184941+00:00
537403,2026-06-17T17:00:00Z,Portugal,DR Congo,draw,0.6444,0.2522,0.1033,0.9851,1.3775,0,1,1,1,1,1,2026-06-18T12:28:33.635116+00:00
537409,2026-06-17T20:00:00Z,England,Croatia,home_win,0.4857,0.2861,0.2282,0.3984,0.7222,1,0,1,1,4,2,2026-06-18T12:28:33.635116+00:00
537410,2026-06-17T23:00:00Z,Ghana,Panama,home_win,0.1871,0.2349,0.578,1.0501,1.6761,0,0,0,1,1,0,2026-06-18T12:28:33.635116+00:00
537404,2026-06-18T02:00:00Z,Uzbekistan,Colombia,away_win,0.2392,0.213,0.5478,0.3071,0.6018,1,0,0,1,1,3,2026-06-18T12:28:33.635116+00:00
537329,2026-06-18T16:00:00Z,Czech Republic,South Africa,draw,0.4789,0.2817,0.2393,0.8026,1.2669,0,1,1,1,1,1,2026-06-19T12:47:42.751578+00:00
537335,2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,home_win,0.6222,0.2683,0.1095,0.2267,0.4745,1,0,1,1,4,1,2026-06-19T12:47:42.751578+00:00
537336,2026-06-18T22:00:00Z,Canada,Qatar,home_win,0.8101,0.1367,0.0532,0.0576,0.2106,1,0,2,0,6,0,2026-06-19T12:47:42.751578+00:00
537330,2026-06-19T01:00:00Z,Mexico,South Korea,home_win,0.5774,0.2676,0.1551,0.2743,0.5492,1,0,1,1,1,0,2026-06-19T12:47:42.751578+00:00
537348,2026-06-19T19:00:00Z,United States,Australia,home_win,0.441,0.2839,0.275,0.4687,0.8187,1,0,1,1,2,0,2026-06-20T11:20:41.104213+00:00
537342,2026-06-19T22:00:00Z,Scotland,Morocco,away_win,0.2164,0.2858,0.4978,0.3807,0.6976,1,0,1,1,0,1,2026-06-20T11:20:41.104213+00:00
537341,2026-06-20T00:30:00Z,Brazil,Haiti,home_win,0.9019,0.0644,0.0337,0.0149,0.1033,1,1,3,0,3,0,2026-06-20T11:20:41.104213+00:00
537347,2026-06-20T03:00:00Z,Turkey,Paraguay,away_win,0.4449,0.2596,0.2955,0.7616,1.2191,0,0,1,1,0,1,2026-06-20T11:20:41.104213+00:00
537359,2026-06-20T17:00:00Z,Netherlands,Sweden,home_win,0.541,0.2741,0.1849,0.32,0.6143,1,0,1,1,5,1,2026-06-20T21:37:04.229877+00:00
537353,2026-06-20T20:00:00Z,Germany,Ivory Coast,home_win,0.4721,0.3177,0.2103,0.4238,0.7506,1,0,1,1,2,1,2026-06-21T11:47:02.647290+00:00
537354,2026-06-21T00:00:00Z,Ecuador,Curaçao,draw,0.8253,0.1209,0.0539,1.4568,2.1128,0,0,3,0,0,0,2026-06-21T11:47:02.647290+00:00
537360,2026-06-21T04:00:00Z,Tunisia,Japan,away_win,0.1513,0.2533,0.5954,0.2508,0.5185,1,0,0,1,0,4,2026-06-21T11:47:02.647290+00:00
537371,2026-06-21T16:00:00Z,Spain,Saudi Arabia,home_win,0.8565,0.1118,0.0317,0.0341,0.1549,1,0,2,0,4,0,2026-06-22T14:42:01.184445+00:00
537365,2026-06-21T19:00:00Z,Belgium,Iran,draw,0.4424,0.2854,0.2722,0.7805,1.2539,0,0,1,1,0,0,2026-06-22T14:42:01.184445+00:00
537372,2026-06-21T22:00:00Z,Uruguay,Cape Verde,draw,0.6782,0.2136,0.1082,1.0901,1.5437,0,0,2,0,2,2,2026-06-22T14:42:01.184445+00:00
537366,2026-06-22T01:00:00Z,New Zealand,Egypt,away_win,0.243,0.2953,0.4617,0.436,0.7728,1,0,1,1,1,3,2026-06-22T14:42:01.184445+00:00
537399,2026-06-22T17:00:00Z,Argentina,Austria,home_win,0.6979,0.2336,0.0685,0.1505,0.3597,1,0,1,0,2,0,2026-06-23T12:09:12.299418+00:00
537393,2026-06-22T21:00:00Z,France,Iraq,home_win,0.7925,0.1425,0.065,0.0676,0.2326,1,0,2,0,3,0,2026-06-23T12:09:12.299418+00:00
537394,2026-06-23T00:00:00Z,Norway,Senegal,home_win,0.4804,0.2662,0.2534,0.4051,0.7331,1,0,1,1,3,2,2026-06-23T12:09:12.299418+00:00
537400,2026-06-23T03:00:00Z,Jordan,Algeria,away_win,0.1958,0.2362,0.568,0.2808,0.5656,1,0,1,1,1,2,2026-06-23T12:09:12.299418+00:00
537405,2026-06-23T17:00:00Z,Portugal,Uzbekistan,home_win,0.6723,0.2206,0.1071,0.1675,0.3971,1,0,2,0,5,0,2026-06-24T11:45:51.745172+00:00
537411,2026-06-23T20:00:00Z,England,Ghana,draw,0.8218,0.1272,0.0511,1.4397,2.062,0,0,2,0,0,0,2026-06-24T11:45:51.745172+00:00
537412,2026-06-23T23:00:00Z,Panama,Croatia,away_win,0.2163,0.2649,0.5189,0.3484,0.656,1,0,1,1,0,1,2026-06-24T11:45:51.745172+00:00
537406,2026-06-24T02:00:00Z,Colombia,DR Congo,home_win,0.7264,0.1698,0.1037,0.1144,0.3197,1,1,1,0,1,0,2026-06-24T11:45:51.745172+00:00
537337,2026-06-24T19:00:00Z,Switzerland,Canada,home_win,0.3743,0.3217,0.304,0.5874,0.9827,1,0,1,1,2,1,2026-06-25T11:41:07.596794+00:00
537338,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,home_win,0.4206,0.3157,0.2637,0.5049,0.8661,1,0,1,1,3,1,2026-06-25T11:41:07.596794+00:00
537343,2026-06-24T22:00:00Z,Scotland,Brazil,away_win,0.1522,0.2577,0.5901,0.2576,0.5275,1,0,0,1,0,3,2026-06-25T11:41:07.596794+00:00
537344,2026-06-24T22:00:00Z,Morocco,Haiti,home_win,0.7756,0.1681,0.0564,0.0818,0.2541,1,0,2,0,4,2,2026-06-25T11:41:07.596794+00:00
537331,2026-06-25T01:00:00Z,Czech Republic,Mexico,away_win,0.2104,0.2698,0.5197,0.3477,0.6545,1,0,1,1,0,3,2026-06-25T11:41:07.596794+00:00
537332,2026-06-25T01:00:00Z,South Africa,South Korea,home_win,0.1851,0.2708,0.5441,1.0334,1.6869,0,0,0,1,1,0,2026-06-25T11:41:07.596794+00:00
537355,2026-06-25T20:00:00Z,Ecuador,Germany,home_win,0.2211,0.2919,0.487,0.9291,1.5091,0,0,1,1,2,1,2026-06-26T11:45:25.811578+00:00
537356,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,away_win,0.1874,0.2736,0.5391,0.3224,0.6179,1,0,0,1,0,2,2026-06-26T11:45:25.811578+00:00
537361,2026-06-25T23:00:00Z,Tunisia,Netherlands,away_win,0.0715,0.1327,0.7958,0.0644,0.2284,1,0,0,2,1,3,2026-06-26T11:45:25.811578+00:00
537362,2026-06-25T23:00:00Z,Japan,Sweden,draw,0.651,0.2314,0.1177,1.0284,1.4636,0,0,1,0,1,1,2026-06-26T11:45:25.811578+00:00
537349,2026-06-26T02:00:00Z,Turkey,United States,home_win,0.2457,0.2885,0.4658,0.8692,1.4036,0,0,1,1,3,2,2026-06-26T11:45:25.811578+00:00
537350,2026-06-26T02:00:00Z,Paraguay,Australia,draw,0.2544,0.2867,0.4589,0.7841,1.2493,0,0,1,1,0,0,2026-06-26T11:45:25.811578+00:00
537395,2026-06-26T19:00:00Z,Norway,France,away_win,0.2168,0.297,0.4862,0.3992,0.7211,1,0,1,1,1,4,2026-06-27T10:58:32.445735+00:00
537396,2026-06-26T19:00:00Z,Senegal,Iraq,home_win,0.5214,0.2716,0.207,0.3457,0.6512,1,0,1,1,5,0,2026-06-27T10:58:32.445735+00:00
537373,2026-06-27T00:00:00Z,Uruguay,Spain,away_win,0.1357,0.2297,0.6346,0.2047,0.4548,1,1,0,1,0,1,2026-06-27T10:58:32.445735+00:00
537374,2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,draw,0.3332,0.3157,0.3511,0.7026,1.153,0,0,1,1,0,0,2026-06-27T10:58:32.445735+00:00
537367,2026-06-27T03:00:00Z,New Zealand,Belgium,away_win,0.1813,0.2306,0.5881,0.2557,0.5309,1,0,1,1,1,5,2026-06-27T10:58:32.445735+00:00
537368,2026-06-27T03:00:00Z,Egypt,Iran,draw,0.3824,0.3215,0.2962,0.6943,1.1348,0,1,1,1,1,1,2026-06-27T10:58:32.445735+00:00
537413,2026-06-27T21:00:00Z,Panama,England,away_win,0.1112,0.1971,0.6917,0.1463,0.3686,1,1,0,2,0,2,2026-06-28T11:08:40.928465+00:00
537414,2026-06-27T21:00:00Z,Croatia,Ghana,home_win,0.6955,0.2122,0.0923,0.1463,0.3631,1,0,2,0,2,1,2026-06-28T11:08:40.928465+00:00
537407,2026-06-27T23:30:00Z,Colombia,Portugal,draw,0.3903,0.2811,0.3286,0.7771,1.269,0,0,1,1,0,0,2026-06-28T11:08:40.928465+00:00
537408,2026-06-27T23:30:00Z,DR Congo,Uzbekistan,home_win,0.402,0.3091,0.2888,0.5366,0.9113,1,0,1,1,3,1,2026-06-28T11:08:40.928465+00:00
537401,2026-06-28T02:00:00Z,Jordan,Argentina,away_win,0.0844,0.1075,0.808,0.0555,0.2132,1,0,0,2,1,3,2026-06-28T11:08:40.928465+00:00
537402,2026-06-28T02:00:00Z,Algeria,Austria,draw,0.3237,0.2782,0.3982,0.7843,1.2794,0,0,1,1,3,3,2026-06-28T11:08:40.928465+00:00
537417,2026-06-28T19:00:00Z,South Africa,Canada,away_win,0.327,0.2346,0.4384,0.4774,0.8246,1,1,0,1,0,1,2026-06-29T13:07:58.395747+00:00
537423,2026-06-29T17:00:00Z,Brazil,Japan,home_win,0.4788,0.2787,0.2425,0.4081,0.7365,1,0,1,1,2,1,2026-06-30T11:45:40.345946+00:00
537415,2026-06-29T20:30:00Z,Germany,Paraguay,away_win,0.5244,0.2612,0.2144,0.9604,1.5399,0,0,1,0,4,5,2026-06-30T11:45:40.345946+00:00
537418,2026-06-30T01:00:00Z,Netherlands,Morocco,away_win,0.3641,0.3249,0.311,0.7128,1.168,0,0,1,1,3,4,2026-06-30T11:45:40.345946+00:00
537424,2026-06-30T17:00:00Z,Ivory Coast,Norway,away_win,0.2392,0.2667,0.4941,0.3843,0.705,1,0,1,1,1,2,2026-07-01T12:09:37.068716+00:00
537416,2026-06-30T21:00:00Z,France,Sweden,home_win,0.7264,0.2001,0.0736,0.1203,0.3197,1,0,2,0,3,0,2026-07-01T12:09:37.068716+00:00
537425,2026-07-01T01:00:00Z,Mexico,Ecuador,home_win,0.5024,0.3065,0.1911,0.3781,0.6884,1,0,1,0,2,0,2026-07-01T12:09:37.068716+00:00
537426,2026-07-01T16:00:00Z,England,DR Congo,home_win,0.6818,0.2233,0.0949,0.1601,0.383,1,0,1,0,2,1,2026-07-02T11:34:34.262558+00:00
537422,2026-07-01T20:00:00Z,Belgium,Senegal,home_win,0.4746,0.2765,0.2489,0.4144,0.7453,1,0,1,1,3,2,2026-07-02T11:34:34.262558+00:00
537421,2026-07-02T00:00:00Z,United States,Bosnia and Herzegovina,home_win,0.7621,0.1627,0.0752,0.0887,0.2717,1,1,2,0,2,0,2026-07-02T11:34:34.262558+00:00
537420,2026-07-02T19:00:00Z,Spain,Austria,home_win,0.7433,0.1942,0.0626,0.1075,0.2967,1,0,2,0,3,0,2026-07-02T22:50:47.040614+00:00
537419,2026-07-02T23:00:00Z,Portugal,Croatia,home_win,0.5094,0.2635,0.2271,0.3617,0.6745,1,0,1,1,2,1,2026-07-03T11:33:08.194666+00:00
537429,2026-07-03T03:00:00Z,Switzerland,Algeria,home_win,0.5509,0.2459,0.2032,0.3034,0.5962,1,0,1,1,2,0,2026-07-03T11:33:08.194666+00:00
